Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,,,D-Ngm,Hs 107018,,,Skizze,,,,,,,,,,,Orch,,,,,,,,,,,,,"zS (blauer Stift, violette Tinte)","3 Blatt (davon 2 zu 1 Bogen, 1 Einzelblatt), 4 Seiten Notentext","Hochformat, 336 x 249 mm, 12 Notenzeilen; Hochformat, 333 x 249 mm, 12 Notenzeilen",,,Max von Erdmannsdörfer,Max von Erdmannsdörfer,,"Bogen und Einzelblatt befinden sich in einer Leinentasche, angebracht auf der Innenseite des hinteren Einbanddeckels.",,"Die Skizzen stammen vermutlich nicht von Liszt. Es handelt sich um Skizzen für ein Orchesterwerk. Das Manuskript endet mit einem Fugato. Zwar ist der Notentext gut zu lesen, die Textunterlegungen, die sich zum Teil finden, hingegen kaum. Auch die Textfragmente, die Clytus Gottwald entziffert hat, ""sei dir Sieg"" und zu dem Fugato ""das Opfer himmelwärts..."" (Gottwald 1988), sind nur vage lesbar.",,,,BV,,,,
,,,Verschiedene Skizzen = Fragmente von Liszt,D-WRgs,GSA 60/Z 18,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 16 Notenzeilen, handrastriert ",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,Lundi 28 avril 1834,1834-04-28,,,,,,,"S. 1, 3 Akkoladen",,,,,,,,,"Liszt skizziert drei Ideen, in jede Akkolade eine. ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,Lentamente,,,,,mardi matin chez [Erard 7600054-0],,1834-04-29,,,,,,"S. 1, 2 Akkoladen",,,,,,,,,Eine achttaktige Skizze in as-Moll.,,,,BV,,,,
,,,(Nocturne),D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,Nocturne [Boscary keine GND] [?],,Kl,,,,,,Lundi 5 Mai_11 1/2,1834-05-05,,,,,,,"S. 1, 1 Akkolade",,,,,,,,,Eine siebentaktige Skizze in As-Dur,"Möglicher Bezug: Liszt widmete Louise Gräfin Miramon (geborene Boscary de Villeplaine) sein ""Divertissement sur la cavatine 'I tuoi frequenti palpiti'"" aus der Oper ""Niobe"" (R 230)
",,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,d) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,Carentonne | Samedi 17,,1834-05-17,,[Carentonne keine GND] (nahe Bernay),,,,"S. 2, 1 Akkolade",,,,,,,,,Eintaktige Skizze,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,e) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,Jeudi-29,,1834-05-29,,,,,,"S. 2, 1 Akkolade",,,,,,,,,"Skizze, vier Takte mit Auftakt, G-Dur ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,f) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,,"S. 2, 1 Akkolade",,,,,,,,,Eintaktige Skizze,,,,BV,,,,
