first_name,last_name,gnd_id
Franz,Liszt,118573527
Richard,Pohl,116260564
Lina,Schmalhausen,117455318
"Alexander W.",Gottschalg,116794526
"Herman van",Bree,1132516730
Emilie,Merian-Genast,116539747
Peter,Cornelius,118522213
Salvatore,Marchesi,116760338
"","Strassburger Männergesangverein",509434-3
Bruno,Hilpert,11689217X
Arthur,Friedheim,116796170
"",Weimar,4065105-8
Joseph,Muetter,117179574
Clara,Schumann,11861164X
Maria,Kalergis,119083213
"Gaëtano",Belloni,1029911630
"Joseph Louis Heinrich Alfred de","Gericke van Herwijnen",1350232653
Louis,Jungmann,117238767
"Heinrich Ludwig Egmont",Dorn,116182776
Marie,"Jaëll",119358905
Walter,Bache,116225203
August,"Göllerich",118695762
"Armgart von",Arnim,116613351
Carl,"Müllerhartung",117172634
Sophie,Bohrer,116233249
Eduard,Grosse,1285034074
"Franz Graf von",Pocci,118595245
Hector,Berlioz,118509675
"Hans von","Bülow",118664638
"Joseph Joachim",Raff,118597779
Wilhelm,Weber,1251653111
Bogumil,Dawison,118524097
"Marie de Flavigny d'",Agoult,118644033
Joseph,Joachim,118776223
Sidonie,Reviczky,1052848664
Jenny,Dingelstedt,116137452
"Joseph Rudolph",Schachner,12284890X
Gisela,"Göllerich",128303417
"Carolyne von",Sayn-Wittgenstein,119369168
Hans,"Bronsart von Schellendorf",117735728
Jenny,"Vény",1348011688
Friedrich,Randeckart,1350195073
"Alfredo C.",Piatti,116176849
Karl,Goepfart,116705221
Camille,"Saint-Saëns",11875081X
Joseph,Mohr,11709286X
"John H.",Cornell,173597998
"Alfred Corning",Clark,1350305596
Carl,Tausig,119317826
"Wera Aleksandrovna",Rubinstein,1351392913
"Sachsen-Weimar-Eisenach Großherzog","Karl Alexander",119418134
Bohuslaw,Chotek,135952204
"August Wilhelm",Ambros,116297506
Eliza,Errington,1351446010
"",Martellini,1052854699
Josef,Dessauer,101057903
Simon,"Löwy",134966202X
Sophie,Menter,116885793
"Olga von",Meyendorff,1052843859
"Albert von",Apponyi,118645501
"Alexander von",Teleky,117254231
"Preußen König","Friedrich Wilhelm IV.",118535994
Felix,Bogaerts,116229349
Mademoiselle,"Brisson Alberti",1351451952
"Kornél","Ábrányi",133643514
Louis,"Köhler",116285036
"Victorien Pierre","Lottin de Laval",100514820
"Wilhelm von",Kaulbach,118560751
"Anton G.","Rubinštejn",118926802
Emerich,Kastner,116066083
Jessie,Hillebrand,116811838
Lina,Ramann,12159811X
"Józefa","Kościelska",1349679593
Richard,Wagner,118594117
Alfred,"Jaëll",117059013
Karl,Gille,117737623
Heinrich,Porges,118971603
Wilhelm,Speyer,117493236
Arnold,"Senfft von Pilsach",117473154
Cristina,Belgioioso,119195860
"Franz Xaver",Witt,118852868
Franz,Kroll,116552336
"","Meininger Hofkapelle",3071611-1
"Ferdinand von",Ziegesar,116986786
Papst,"Pius IX.",118594729
"Claire de",Groeditzberg,1052843816
"Johann von",Herbeck,118549448
August,"Kömpel",116288310
"Nikolaj G.","Rubinštejn",120131730
Henry,Litolff,11948756X
Karl,"Hubay von Szalatna",104763323X
Marie,Breidenstein,116470178
Charlotte,Loudon,1351445987
Anna,Spiering-Gille,1244345989
Siegmund,Karpeles,101280187X
"Günther",Kraft,134171632
"Marie zu","Hohenlohe-Schillingsfürst",11695549X
Otto,Lessmann,116955139
Arthur,"Rösel",116593539
Gottlob,Wiedebein,120755106
"Sándor",Teleki,105284779X
Peter,Raabe,116319011
"Charles Wilfrid de","Bériot",117735108
Nikolaus,Decius,119486725
"Johann Sebastian",Bach,11850553X
Johann,Schop,128480343
Johann,Rist,118745425
"Daniel-François-Esprit",Auber,118646192
Ludwik,Marek,142364479
"Franz von",Dingelstedt,118525751
Friedrich,"Rückert",118603817
"August Heinrich","Hoffmann von Fallersleben",118552589
"Ida von","Lüttichau",133663566
"Sachsen-Weimar Großherzogin",Maria,104304219
"Bedřich",Smetana,118615017
Gustave,Vogt,117467766
Gustav,Michell,140978194
Ferenc,Erkel,118530801
"Ida von","Reinsberg-Düringsfeld",101142072
"Otto von Freiherr","Reinsberg-Düringsfeld",120859718
"Johann Friedrich",Kittl,132250934
Marie,Wolkenstein-Trostburg,117432997
Charles,Gounod,118718312
Buonarroti,Michelangelo,118582143
August,Conradi,116655224
Georg,Herwegh,118550128
"Felix von",Meyendorff,138343098
Antonia,Raab,1052835120
"Hohenzollern-Sigmaringen Fürstin",Katharina,119549824
"Gustav Adolf zu","Hohenlohe-Schillingsfürst",116955422
"Hubert Ferdinand",Kufferath,116598883
"Adolf von",Henselt,118903861
Dionys,Pruckner,116305606
"Moritz von",Strachwitz,118618814
Felix,Draeseke,118907735
"Aleksej Konstantinovič",Tolstoj,118623257
"François-René de",Chateaubriand,118520237
Alwin,Cranz,116717262
Henri,Gobbi,142252573
Martin,Krause,116399945
Ludwig,Uhland,118625063
"Alfred de",Musset,118585940
Theodor,"Körner",118713507
"Carl Maria von",Weber,118629662
"Malwina von",Pelet-Narbonne,1349665320
Alfred,Cortot,119351064
"Joseph Victor von",Scheffel,118606832
Alexandre,Dumas,118528068
Maria,Szymanowska,117392359
Adolf,Stahr,11875257X
Wilhelm,Tappert,117201731
Karl,"Götze",116740574
Ferdinand,"Plotényi",1200909291
Aloys,Obrist,117078751
"Béla","Bartók",118506900
Robert,Schaab,117088862
Alexander,Ritter,119322897
Auguste,Franchomme,11669386X
Henri,"Maréchal",116772492
August,"Reißmann",116431814
"Olga de",Janina,12408138X
"János","Végh",1051217458
Arthur,Hahn,1055400486
Alfred,"Dörffel",116159421
"Adelheid von",Schorn,116919566
"Karl Erdmann",Edler,116356219
L.,Fleischhauer,1350206504
Eduard,Lassen,118975773
Max,Pinner,1257788507
Franz,Doppler,116180064
"Christian Friedrich",Kahnt,116031522
Eduard,Reuss,122345312
Alfred,Reisenauer,116429623
Carl,Riedel,116534060
Ferruccio,Busoni,118518011
"Max von","Erdmannsdörfer",116531398
Helene,Raff,116323930
Oskar,Schwalm,117342424
Gerda,Busoni,117183482
Friedrich,Hebbel,118547445
Friedrich,Schiller,118607626
"Christian Jakob",Zahn,116948965
"Ernst Moritz",Arndt,118504118
Gustav,Reichardt,116397500
Franz,"Götze",130210536
"Felix Maria Vincenz Andreas von",Lichnowsky,119002043
Pauline,Freyseng,1021285153
Jacob,Arcadelt,119501716
"Pierre Louis",Dietsch,102419965
Heinrich,Heine,118548018
"Johann Wolfgang von",Goethe,118540238
Hans,Merian-Genast,116905875
Philipp,Kaufmann,116076844
"Michail Jurʹevič",Lermontov,11857194X
Friedrich,Bodenstedt,118512293
"Adolf von",Wilbrandt,118807250
"von Assisi Heiliger",Franz,118534963
Assisias,Leo,100951708
"de Loyola",Ignacio,118555359
Leopoldo,Mililotti,1033471941
Nikolaus,Lenau,118571508
Franz,Oberreich,1249821495
"Ferdinand Fürchtegott",Huber,123759579
Ernst,Knop,1208664603
Philipp,Wolfrum,11863495X
Gustav,Bock,116214295
Friedrich,Schnapp,130601756
Ferencz,"Deák",118671227
Heinrich,Isaac,11855588X
"Karolina K.",Pavlova,118739700
"Marie-Emmanuel Guillaume Marguerite","Théaulon de Lambert",104275618
Pauline,Apel,1303715880
"János László",Pyrker,11874304X
"Julija P.",Samojlova,1019537922
